game,reference,ID,first,second,third,fourth,fifth,sixth,seventh,eighth
2,LB002,6,5,13,15,17,20,21,25,28
2,LB002,7,6,19,22,23,31,36,41,54
2,LB002,8,4,8,14,18,28,38,48,58
2,LB002,9,3,5,7,18,20,40,45,59
2,LB002,10,1,3,6,7,9,10,11,13
2,LB003,1,1,6,13,14,23,24,30,44
2,LB004,1,1,7,12,18,25,26,31,50
2,LB004,2,13,19,23,31,32,42,48,56
2,LB004,3,6,19,36,42,44,47,50,59
2,LB004,4,2,5,9,14,17,27,45,49
2,LB005,1,7,8,9,10,11,16,27,59
2,LB005,2,2,8,12,14,18,30,33,58
2,LB005,3,2,6,13,15,17,33,40,56
2,LB007,1,1,2,3,8,26,36,39,48
2,LB007,2,6,15,22,33,42,44,48,55
2,LB007,3,2,10,13,16,19,21,43,51
2,LB007,4,5,9,18,23,32,41,44,51
2,LB007,5,6,12,13,15,21,33,41,53
2,LB007,6,3,8,13,15,19,21,28,43
2,LB008,1,8,9,10,11,16,17,24,59
2,LB009,1,2,4,19,26,30,44,49,52
2,LB009,2,5,9,11,17,38,43,47,54
2,LB009,3,1,6,14,18,20,29,34,48
2,LB010,1,5,6,27,31,40,49,53,55
2,LB011,1,2,3,5,12,43,48,51,59
2,LB011,2,21,27,32,36,42,48,55,57
2,LB012,1,4,9,13,18,23,29,46,49
2,LB012,2,5,13,18,26,46,47,56,59
2,LB012,3,1,13,22,24,26,46,50,56
2,LB012,4,1,13,22,24,26,46,55,56
2,LB012,5,9,11,13,16,18,23,29,56
2,LB014,1,11,13,14,21,24,27,28,44
2,LB014,2,1,3,10,33,50,55,56,59
2,LB015,1,1,7,10,13,22,31,47,50
2,LB015,2,3,12,17,29,36,39,45,56
2,LB015,3,6,16,18,23,27,33,34,42
2,LB015,4,4,11,12,16,17,47,51,54
2,LB015,5,5,8,10,21,36,39,40,50
2,LB016,1,1,9,15,17,26,28,44,57
2,LB016,2,1,9,15,22,26,28,50,51
2,LB017,1,5,6,8,11,12,26,29,30
